Temperature,Humidity,LightIntensity
30.2,79,426
30.2,77,427
30.2,78,428
30.2,79,429
30.2,78,430
30.2,78,431
30.2,78,432
30.2,77,433
30.2,77,434
30.2,77,435
30.2,78,436
30.2,78,437
30.2,79,438
30.2,78,439
30.2,79,440
30.2,78,441
30.2,78,442
30.2,77,443
30.2,78,444
30.2,77,445
30.2,79,446
30.2,79,447
30.2,79,448
30.2,79,449
30.2,79,450
30.2,78,451
30.2,79,452
30.2,79,453
30.2,78,454
30.2,78,455
30.2,78,456
30.2,78,457
30.2,78,458
30.2,79,459
30.2,78,460
30.2,78,461
30.2,78,462
29.8,80,463
29.8,80,464
29.8,80,465
29.8,80,466
29.8,80,467
29.8,80,468
29.8,80,469
29.8,80,470
29.8,81,471
29.8,80,472
29.8,80,473
29.8,80,474
29.8,81,475
29.8,81,476
29.8,80,477
29.8,80,478
29.8,80,479
29.8,81,480
29.8,81,481
29.8,80,482
29.8,80,483
29.8,80,484
29.8,80,485
29.8,80,486
29.8,80,487
29.8,80,488
29.8,80,489
29.8,80,490
29.8,80,491
29.8,80,492
29.8,80,493
29.8,80,494
29.8,80,495
29.8,80,496
29.8,80,497
29.8,80,498
29.8,81,499
29.8,81,500
29.8,80,501
29.8,81,502
29.8,81,503
29.8,81,504
29.8,81,505
29.8,81,506
29.8,81,507
29.8,81,508
29.8,81,509
29.8,81,510
29.8,81,511
29.8,82,512
29.8,82,513
29.8,82,514
29.8,82,515
29.8,82,516
29.8,82,517
29.8,81,518
29.8,81,519
29.8,81,520
29.8,81,521
29.8,81,522
29.8,81,523
29.8,81,524
29.8,81,525
29.8,81,526
29.8,81,527
29.8,81,528
29.8,81,529
29.8,81,530
29.8,81,531
29.8,81,532
29.8,81,533
29.9,81,534
30.2,80,535
29.8,81,536
29.8,81,537
29.8,81,538
29.8,81,539
30.2,80,540
30.2,79,541
30.2,79,542
30.2,79,543
30.2,79,544
29.8,81,545
29.8,81,546
29.8,80,547
29.8,80,548
29.8,80,549
29.8,80,550
29.8,80,551
29.8,80,552
30.2,79,553
30.2,79,554
30.2,79,555
30.2,79,556
30.2,79,557
30.2,79,558
30.2,79,559
30.2,79,560
30.2,79,561
30.2,79,562
30.2,78,563
30.2,79,564
30.2,79,565
30.2,79,566
30.2,79,567
30.2,79,568
30.2,79,569
30.2,79,570
30.2,79,571
30.2,79,572
30.2,79,573
30.2,79,574
30.2,80,575
30.2,79,576
30.2,79,577
30.2,79,578
30.2,79,579
30.2,79,580
30.2,79,581
30.2,79,582
30.2,79,583
30.2,79,584
30.2,79,585
30.2,79,586
30.2,79,587
30.2,79,588
30.2,79,589
30.2,80,590
30.2,80,591
30.2,80,592
30.2,79,593
30.2,79,594
30.2,79,595
30.2,79,596
30.2,79,597
30.2,79,598
30.2,79,599
30.2,79,600
30.2,79,601
30.2,79,602
30.2,79,603
30.2,79,604
30.2,79,605
30.2,79,606
30.2,79,607
30.2,79,608
30.2,79,609
30.2,79,610
30.2,79,611
30.2,79,612
30.2,79,613
30.2,79,614
30.2,79,615
30.2,79,616
30.8,78,617
30.8,75,618
30.8,77,619
30.8,75,620
30.8,75,621
30.8,75,622
30.8,78,623
30.8,75,624
30.8,76,625
30.8,75,626
30.8,73,627
30.8,74,628
30.8,75,629
30.8,75,630
30.8,74,631
30.8,73,632
30.8,75,633
30.8,74,634
30.8,77,635
31.3,76,636
31.3,75,637
31.3,77,638
31.3,77,639
31.3,78,640
31.3,78,641
31.3,76,642
31.3,75,643
31.3,76,644
31.3,77,645
31.3,76,646
31.3,76,647
31.3,75,648
31.3,74,649
31.3,74,650
30.8,74,651
30.8,75,652
30.8,75,653
30.8,75,654
30.8,75,655
30.8,75,656
30.8,75,657
30.8,75,658
30.8,75,659
30.8,75,660
30.8,75,661
30.8,76,662
30.8,77,663
30.8,75,664
30.8,75,665
30.8,75,666
30.8,76,667
30.8,76,668
31.3,76,669
31.3,76,670
31.3,75,671
31.3,76,672
31.3,76,673
31.3,75,674
31.3,75,675
30.8,75,676
30.8,75,677
30.8,75,678
30.8,75,679
30.8,75,680
30.8,74,681
30.8,74,682
30.8,72,683
30.8,72,684
30.8,73,685
31.8,74,686
32.8,75,687
29.3,71,688
28.9,71,715
28.9,71,708
28.9,71,753
28.9,71,758
28.9,72,747
28.9,72,754
28.9,72,750
28.9,72,692
28.9,73,763
29.9,74,702
30.9,75,691
31.9,76,705
32.9,77,696
33.9,78,721
34.9,79,720
35.9,80,729
14.9,81,750
15.9,82,700
16.9,83,732
17.9,84,765
18.9,85,709
19.9,86,752
20.9,68,760
21.9,69,770
22.9,70,718
23.9,71,721
24.9,72,726
25.9,73,739
26.9,74,718
27.9,75,728
28.9,76,759
28.9,74,766
28.9,72,764
28.9,72,775
28.9,73,782
28.9,73,709
28.9,72,769
28.9,72,768
28.9,72,766
28.9,72,728
28.9,72,776
28.9,72,742
29.3,72,688
29.3,72,717
28.9,72,714
28.9,72,760
28.9,72,741
28.9,72,698
28.9,72,751
29.9,73,1024
30.9,74,1024
31.9,75,1024
32.9,76,1024
33.9,77,1024
34.9,78,1024
35.9,79,1024
36.9,80,1024
25.3,70,0
25.3,69,1
25.3,70,2
25.3,70,3
25.3,70,4
25.3,70,5
25.3,70,6
25.3,70,7
25.3,70,8
25.3,69,9
25.3,70,10
25.3,70,11
25.3,70,12
25.3,71,13
