dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value
30.2,79,687,999,1008.62531,28.16959,396
29.8,77,688,404,1008.61737,28.23564,397
29.9,78,715,506,1008.62201,28.19682,413
30.8,80,708,585,1008.61108,28.28807,345
31.3,81,753,584,1008.59741,28.40253,366
32.3,82,758,566,1008.58484,28.5074,357
29.3,75,747,562,1008.59003,28.46404,354
28.9,76,754,564,1008.58875,28.47513,373
25.3,73,750,568,1008.57733,28.57043,348
22.9,74,692,578,1008.57971,28.55026,384
23,72,763,586,1008.56232,28.69597,423
23.4,73,702,595,1008.5639,28.68287,412
60.1,71,691,427,1008.54663,28.82707,411
23.8,70,705,510,1008.52075,29.04338,414
24.1,69,696,534,1008.53204,28.94909,415
24.5,83,721,590,1008.52344,29.02069,425
24.8,84,720,632,1008.51331,29.1054,420
24.2,66,729,615,1008.48407,29.34996,407
22.6,11,700,665,1008.4422,29.69991,409
23.7,98,732,702,1008.43628,29.74933,417
23.5,68,765,750,1008.40369,30.02214,419
21,67,709,785,1008.39502,30.09425,403
21.4,65,752,801,1008.367,30.32874,402
20.6,64,760,813,1008.34564,30.50726,401
20.2,63,770,833,1008.34924,30.477,408
18.2,59,718,852,1008.34985,30.47196,399
18.6,58,726,868,1008.32843,30.65099,355
19.4,86,739,871,1008.26202,31.20624,406
19.8,87,728,453,1008.27045,31.13614,400
20.3,88,759,694,1008.23248,31.45337,404
18.3,85,766,756,1008.23279,31.45085,405
21.8,89,764,830,1008.22162,31.54415,416
22.2,38,775,856,1008.21075,31.63494,372
22.7,37,782,874,1008.18701,31.83365,362
26.2,45,769,880,1008.16656,32.00463,364
22.3,53,768,895,1008.14709,32.16755,378
21.1,62,776,898,1008.12872,32.32088,351
21.9,60,742,885,1008.11938,32.39906,353
22.8,57,717,907,1008.10596,32.51154,360
24.6,56,714,924,1008.06525,32.85151,371
25.8,93,741,932,1008.04498,33.021,352
23.3,91,698,945,1008.02704,33.17131,361
24,52,751,952,1008.0094,33.31861,356
19,46,1024,960,1007.96381,33.69997,363
18.8,41,0,473,1007.93976,33.90125,359
33.8,51,5,476,1007.90393,34.2009,358
33.2,49,4,597,1007.8764,34.43095,374
28.5,48,10,773,1007.86133,34.55707,367
19.5,50,6,740,1007.84265,34.71347,350
27.6,47,45,832,1007.82935,34.82446,375
28,48,748,882,1007.80951,34.99044,365
27.1,61,793,896,1007.76477,35.3648,346
26.7,54,738,913,1007.74341,35.54341,385
28.4,55,745,914,1007.70685,35.84917,389
29.4,56,792,921,1007.6864,36.02021,391
29.6,57,735,926,1007.6933,35.96269,329
26.4,82,798,940,1007.65845,36.25383,332
27.7,76,794,951,1007.64081,36.40167,326
33.3,73,762,963,1007.59717,36.76649,340
32.8,72,797,805,1007.56409,37.04353,343
33.8,71,799,948,1007.54749,37.1823,349
32.3,68,725,968,1007.52576,37.36396,390
31.8,69,757,975,1007.53674,37.27212,394
31.9,70,756,987,1007.52075,37.40585,380
34.2,71,796,997,1007.4986,37.59155,395
33.9,72,761,1004,1007.47931,37.75253,334
35.2,73,788,1013,1007.46173,37.89989,335
35.6,61,801,1022,1007.42578,38.20068,336
34.7,58,780,1024,1007.39526,38.45604,347
38.5,54,774,682,1007.39642,38.44595,369
38.6,60,841,867,1007.37622,38.61502,376
39,63,835,879,1007.35864,38.76239,370
39.2,65,837,897,1007.31189,39.15354,368
39.5,63,842,942,1007.26593,39.53814,379
28.7,64,840,451,1007.23273,39.81575,388
35.5,62,860,941,1007.22015,39.92125,382
35.4,63,869,262,1007.19843,40.10296,430
34,62,831,807,1007.18237,40.23723,424
32.6,64,826,825,1007.1358,40.62692,418
31.4,65,847,843,1007.12061,40.75413,426
30.1,66,737,949,1007.11725,40.78239,427
29.7,67,787,956,1007.07928,41.09992,410
30.3,68,838,972,1007.05725,41.28418,330
30.6,69,836,988,1007.01111,41.67037,392
32.7,70,866,1003,1007.01208,41.66229,422
31.07,73.7,833,1009,1006.96295,42.07375,421
31.04,67.61,825,1014,1006.92584,42.38424,383
31.01,68.08,834,1017,1006.76154,43.75961,431
30.99,67.17,855,1018,1006.73767,43.95907,446
30.95,62.98,848,1021,1006.70349,44.24538,428
30.93,62.64,861,1020,1006.69562,44.31153,387
30.94,59.2,857,905,1006.65967,44.6125,377
31.03,60.31,829,810,1006.64056,44.77207,429
31.05,68.99,845,550,1010.32983,13.93152,437
31.06,65.34,846,558,1010.35876,13.69035,433
30.96,61.83,823,569,1010.35846,13.69287,434
30.92,66,859,625,1010.38031,13.51061,436
30.97,65.74,805,624,1010.39227,13.41041,435
30.98,61.97,813,622,1010.38794,13.44666,438
31.09,59.85,749,627,1010.38721,13.45271,444
31.1,65.81,722,640,1010.37872,13.5237,432
31.15,69.58,711,657,1010.35687,13.70596,303
31.16,75.61,786,689,1010.3689,13.60576,331
31.13,75.79,730,519,1010.3855,13.46731,291
31.14,73.93,865,582,1010.39612,13.3787,255
31.39,74.3,843,741,1010.37036,13.59368,233
31.34,57.27,868,748,1010.36639,13.62641,440
31.31,46.36,862,774,1010.35205,13.74624,338
31.24,48.12,849,806,1010.34467,13.80817,339
31.23,47.86,864,841,1010.82892,9.76692,325
30.82,54.38,850,853,1010.81,9.92445,465
30.69,51.18,858,861,1010.823,9.81624,307
30.7,56.29,824,878,1010.83954,9.67784,283
31.74,62.94,822,883,1010.85919,9.51427,289
31.73,51.84,821,886,1010.87463,9.38543,232
31.71,69.23,814,892,1010.88336,9.31245,250
31.72,73.69,723,901,1010.89954,9.17758,279
31.75,60.43,816,936,1010.91205,9.0729,269
31.76,56.58,820,943,1010.9339,8.89072,294
31.77,83.72,706,944,1010.9342,8.8882,267
31.79,89.92,828,916,1010.95032,8.75383,276
31.81,84.21,818,955,1010.96906,8.59732,263
31.82,81.81,811,962,1010.97516,8.5465,262
31.84,69.92,810,966,1010.96997,8.58978,272
31.87,52.24,853,973,1010.96124,8.66275,235
31.9,56.26,727,976,1010.96857,8.60135,253
31.92,54.94,734,980,1010.96234,8.65369,268
31.93,52.22,740,978,1010.96167,8.65922,381
31.95,64.82,733,981,1010.97797,8.52335,398
31.97,69.39,712,985,1010.98608,8.45541,460
31.98,63.57,773,993,1011.01642,8.20229,393
32,77.15,716,996,1011.03406,8.05535,327
32.02,67.14,789,1002,1011.03467,8.05032,344
32.03,69.91,800,1005,1011.0415,7.99295,386
32.06,66.33,674,1008,1011.05719,7.86212,477
32.05,63.61,680,1012,1011.05487,7.88174,337
32.07,72.03,668,1016,1011.02905,8.09712,306
32.08,74.93,746,1023,1011.03296,8.06441,209
32.09,73.55,807,708,1011.00842,8.26922,174
32.12,76.15,812,709,1011.0094,8.26066,178
32.1,73.11,744,710,1010.9906,8.41767,173
32.04,74.87,806,701,1010.97974,8.50825,476
32.01,76.2,713,749,1010.9903,8.42019,56
31.96,73.83,685,758,1010.98138,8.49466,155
31.94,76.55,686,753,1010.99731,8.36181,500
31.91,64.99,675,762,1011.00537,8.29438,161
31.44,74.36,736,696,1011.04669,7.94967,453
31.36,77.63,772,693,1011.03705,8.03019,164
31.35,81.54,879,706,1011.04346,7.97685,172
31.33,78.07,844,716,1011.0647,7.79972,265
31.38,78.02,867,722,1011.06116,7.82891,238
31.37,75.25,871,726,1011.04846,7.93508,236
31.45,64.41,873,703,1011.04749,7.94313,245
31.46,53.54,870,727,1011.03534,8.04428,184
31.47,61.87,808,764,1011.04919,7.92904,206
31.48,62.28,778,757,1011.04108,7.99647,188
31.5,64.51,676,770,1011.03796,8.02264,190
31.51,67.49,830,729,1011.01221,8.23751,187
31.52,70.72,802,735,1011.0022,8.32105,439
31.54,64.16,852,715,1010.98718,8.44635,464
31.56,72.16,832,730,1010.9881,8.4388,456
31.57,74.93,856,759,1010.98132,8.49517,320
31.59,69.8,819,763,1010.99188,8.4071,305
31.61,73.2,783,765,1010.96765,8.6094,300
31.63,74.73,781,776,1010.97339,8.56109,317
31.64,78.37,817,777,1010.97266,8.56763,315
31.65,74.08,881,709,1010.99408,8.38848,310
31.66,72.45,912,769,1011.01233,8.23651,323
31.67,69.72,876,728,1010.99469,8.38345,282
