dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
30.2,79,687,999,1008.62531,28.16959,396,1,Good
29.8,77,688,404,1008.61737,28.23564,397,0,Good
29.9,78,715,506,1008.62201,28.19682,413,1,Good
30.8,80,708,585,1008.61108,28.28807,345,1,Good
31.3,81,753,584,1008.59741,28.40253,366,1,Good
32.3,82,758,566,1008.58484,28.5074,357,1,Good
29.3,75,747,562,1008.59003,28.46404,354,1,Good
28.9,76,754,564,1008.58875,28.47513,373,1,Good
25.3,73,750,568,1008.57733,28.57043,348,1,Good
22.9,74,692,578,1008.57971,28.55026,384,1,Good
23,72,763,586,1008.56232,28.69597,423,1,Good
23.4,73,702,595,1008.5639,28.68287,412,1,Good
60.1,71,691,427,1008.54663,28.82707,411,0,Good
23.8,70,705,510,1008.52075,29.04338,414,1,Good
24.1,69,696,534,1008.53204,28.94909,415,1,Good
24.5,83,721,590,1008.52344,29.02069,425,1,Good
24.8,84,720,632,1008.51331,29.1054,420,1,Good
24.2,66,729,615,1008.48407,29.34996,407,1,Good
22.6,11,700,665,1008.4422,29.69991,409,1,Good
23.7,98,732,702,1008.43628,29.74933,417,1,Good
23.5,68,765,750,1008.40369,30.02214,419,1,Good
21,67,709,785,1008.39502,30.09425,403,1,Good
21.4,65,752,801,1008.367,30.32874,402,1,Good
20.6,64,760,813,1008.34564,30.50726,401,1,Good
20.2,63,770,833,1008.34924,30.477,408,1,Good
18.2,59,718,852,1008.34985,30.47196,399,1,Good
18.6,58,726,868,1008.32843,30.65099,355,1,Good
19.4,86,739,871,1008.26202,31.20624,406,1,Good
19.8,87,728,453,1008.27045,31.13614,400,0,Good
20.3,88,759,694,1008.23248,31.45337,404,1,Good
18.3,85,766,756,1008.23279,31.45085,405,1,Good
21.8,89,764,830,1008.22162,31.54415,416,1,Good
22.2,38,775,856,1008.21075,31.63494,372,1,Good
22.7,37,782,874,1008.18701,31.83365,362,1,Good
26.2,45,769,880,1008.16656,32.00463,364,1,Good
22.3,53,768,895,1008.14709,32.16755,378,1,Good
21.1,62,776,898,1008.12872,32.32088,351,1,Good
21.9,60,742,885,1008.11938,32.39906,353,1,Good
22.8,57,717,907,1008.10596,32.51154,360,1,Good
24.6,56,714,924,1008.06525,32.85151,371,1,Good
25.8,93,741,932,1008.04498,33.021,352,1,Good
23.3,91,698,945,1008.02704,33.17131,361,1,Good
24,52,751,952,1008.0094,33.31861,356,1,Good
19,46,1024,960,1007.96381,33.69997,363,1,Good
18.8,41,0,473,1007.93976,33.90125,359,0,Good
33.8,51,5,476,1007.90393,34.2009,358,0,Good
33.2,49,4,597,1007.8764,34.43095,374,1,Good
28.5,48,10,773,1007.86133,34.55707,367,1,Good
19.5,50,6,740,1007.84265,34.71347,350,1,Good
27.6,47,45,832,1007.82935,34.82446,375,1,Good
28,48,748,882,1007.80951,34.99044,365,1,Good
27.1,61,793,896,1007.76477,35.3648,346,1,Good
26.7,54,738,913,1007.74341,35.54341,385,1,Good
28.4,55,745,914,1007.70685,35.84917,389,1,Good
29.4,56,792,921,1007.6864,36.02021,391,1,Good
29.6,57,735,926,1007.6933,35.96269,329,1,Good
26.4,82,798,940,1007.65845,36.25383,332,1,Good
27.7,76,794,951,1007.64081,36.40167,326,1,Good
33.3,73,762,963,1007.59717,36.76649,340,1,Good
32.8,72,797,805,1007.56409,37.04353,343,1,Good
33.8,71,799,948,1007.54749,37.1823,349,1,Good
32.3,68,725,968,1007.52576,37.36396,390,1,Good
31.8,69,757,975,1007.53674,37.27212,394,1,Good
31.9,70,756,987,1007.52075,37.40585,380,1,Good
34.2,71,796,997,1007.4986,37.59155,395,1,Good
33.9,72,761,1004,1007.47931,37.75253,334,1,Good
35.2,73,788,1013,1007.46173,37.89989,335,1,Good
35.6,61,801,1022,1007.42578,38.20068,336,1,Good
34.7,58,780,1024,1007.39526,38.45604,347,1,Good
38.5,54,774,682,1007.39642,38.44595,369,1,Good
38.6,60,841,867,1007.37622,38.61502,376,1,Good
39,63,835,879,1007.35864,38.76239,370,1,Good
39.2,65,837,897,1007.31189,39.15354,368,1,Good
39.5,63,842,942,1007.26593,39.53814,379,1,Good
28.7,64,840,451,1007.23273,39.81575,388,0,Good
35.5,62,860,941,1007.22015,39.92125,382,1,Good
35.4,63,869,262,1007.19843,40.10296,430,0,Good
34,62,831,807,1007.18237,40.23723,424,1,Good
32.6,64,826,825,1007.1358,40.62692,418,1,Good
31.4,65,847,843,1007.12061,40.75413,426,1,Good
30.1,66,737,949,1007.11725,40.78239,427,1,Good
29.7,67,787,956,1007.07928,41.09992,410,1,Good
30.3,68,838,972,1007.05725,41.28418,330,1,Good
30.6,69,836,988,1007.01111,41.67037,392,1,Good
32.7,70,866,1003,1007.01208,41.66229,422,1,Good
31.07,73.7,833,1009,1006.96295,42.07375,421,1,Good
31.04,67.61,825,1014,1006.92584,42.38424,383,1,Good
31.01,68.08,834,1017,1006.76154,43.75961,431,1,Good
30.99,67.17,855,1018,1006.73767,43.95907,446,1,Good
30.95,62.98,848,1021,1006.70349,44.24538,428,1,Good
30.93,62.64,861,1020,1006.69562,44.31153,387,1,Good
30.94,59.2,857,905,1006.65967,44.6125,377,1,Good
31.03,60.31,829,810,1006.64056,44.77207,429,1,Good
31.05,68.99,845,550,1010.32983,13.93152,437,1,Good
31.06,65.34,846,558,1010.35876,13.69035,433,1,Good
30.96,61.83,823,569,1010.35846,13.69287,434,1,Good
30.92,66,859,625,1010.38031,13.51061,436,1,Good
30.97,65.74,805,624,1010.39227,13.41041,435,1,Good
30.98,61.97,813,622,1010.38794,13.44666,438,1,Good
31.09,59.85,749,627,1010.38721,13.45271,444,1,Good
31.1,65.81,722,640,1010.37872,13.5237,432,1,Good
31.15,69.58,711,657,1010.35687,13.70596,303,1,Good
31.16,75.61,786,689,1010.3689,13.60576,331,1,Good
31.13,75.79,730,519,1010.3855,13.46731,291,1,Good
31.14,73.93,865,582,1010.39612,13.3787,255,1,Good
31.39,74.3,843,741,1010.37036,13.59368,233,1,Good
31.34,57.27,868,748,1010.36639,13.62641,440,1,Good
31.31,46.36,862,774,1010.35205,13.74624,338,1,Good
31.24,48.12,849,806,1010.34467,13.80817,339,1,Good
31.23,47.86,864,841,1010.82892,9.76692,325,1,Good
30.82,54.38,850,853,1010.81,9.92445,465,1,Good
30.69,51.18,858,861,1010.823,9.81624,307,1,Good
30.7,56.29,824,878,1010.83954,9.67784,283,1,Good
31.74,62.94,822,883,1010.85919,9.51427,289,1,Good
31.73,51.84,821,886,1010.87463,9.38543,232,1,Good
31.71,69.23,814,892,1010.88336,9.31245,250,1,Good
