dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
30.2,79,687,1008.62531,28.16959,999,1
29.8,77,688,1008.61737,28.23564,404,0
29.9,78,715,1008.62201,28.19682,506,1
30.8,80,708,1008.61108,28.28807,585,1
31.3,81,753,1008.59741,28.40253,584,1
32.3,82,758,1008.58484,28.5074,566,1
29.3,75,747,1008.59003,28.46404,562,1
28.9,76,754,1008.58875,28.47513,564,1
25.3,73,750,1008.57733,28.57043,568,1
22.9,74,692,1008.57971,28.55026,578,1
23,72,763,1008.56232,28.69597,586,1
23.4,73,702,1008.5639,28.68287,595,1
60.1,71,691,1008.54663,28.82707,427,0
23.8,70,705,1008.52075,29.04338,510,1
24.1,69,696,1008.53204,28.94909,534,1
24.5,83,721,1008.52344,29.02069,590,1
24.8,84,720,1008.51331,29.1054,632,1
24.2,66,729,1008.48407,29.34996,615,1
22.6,11,700,1008.4422,29.69991,665,1
23.7,98,732,1008.43628,29.74933,702,1
23.5,68,765,1008.40369,30.02214,750,1
21,67,709,1008.39502,30.09425,785,1
21.4,65,752,1008.367,30.32874,801,1
20.6,64,760,1008.34564,30.50726,813,1
20.2,63,770,1008.34924,30.477,833,1
18.2,59,718,1008.34985,30.47196,852,1
18.6,58,726,1008.32843,30.65099,868,1
19.4,86,739,1008.26202,31.20624,871,1
19.8,87,728,1008.27045,31.13614,453,0
20.3,88,759,1008.23248,31.45337,694,1
18.3,85,766,1008.23279,31.45085,756,1
21.8,89,764,1008.22162,31.54415,830,1
22.2,38,775,1008.21075,31.63494,856,1
22.7,37,782,1008.18701,31.83365,874,1
26.2,45,769,1008.16656,32.00463,880,1
22.3,53,768,1008.14709,32.16755,895,1
21.1,62,776,1008.12872,32.32088,898,1
21.9,60,742,1008.11938,32.39906,885,1
22.8,57,717,1008.10596,32.51154,907,1
24.6,56,714,1008.06525,32.85151,924,1
25.8,93,741,1008.04498,33.021,932,1
23.3,91,698,1008.02704,33.17131,945,1
24,52,751,1008.0094,33.31861,952,1
19,46,1024,1007.96381,33.69997,960,1
18.8,41,0,1007.93976,33.90125,473,0
33.8,51,5,1007.90393,34.2009,476,0
33.2,49,4,1007.8764,34.43095,597,1
28.5,48,10,1007.86133,34.55707,773,1
19.5,50,6,1007.84265,34.71347,740,1
27.6,47,45,1007.82935,34.82446,832,1
28,48,748,1007.80951,34.99044,882,1
27.1,61,793,1007.76477,35.3648,896,1
26.7,54,738,1007.74341,35.54341,913,1
28.4,55,745,1007.70685,35.84917,914,1
29.4,56,792,1007.6864,36.02021,921,1
29.6,57,735,1007.6933,35.96269,926,1
26.4,82,798,1007.65845,36.25383,940,1
27.7,76,794,1007.64081,36.40167,951,1
33.3,73,762,1007.59717,36.76649,963,1
32.8,72,797,1007.56409,37.04353,805,1
33.8,71,799,1007.54749,37.1823,948,1
32.3,68,725,1007.52576,37.36396,968,1
31.8,69,757,1007.53674,37.27212,975,1
31.9,70,756,1007.52075,37.40585,987,1
34.2,71,796,1007.4986,37.59155,997,1
