Temperature,Humidity,LightIntensity,Label
30.2,79,426,0
30.2,77,427,1
30.2,78,428,0
30.2,79,429,1
30.2,78,430,0
30.2,78,431,1
30.2,78,432,0
30.2,77,433,1
30.2,77,434,0
30.2,77,435,1
30.2,78,436,0
30.2,78,437,0
30.2,79,438,1
30.2,78,439,0
30.2,79,440,1
30.2,78,441,0
30.2,78,442,1
30.2,77,443,0
30.2,78,444,1
30.2,77,445,0
30.2,79,446,1
30.2,79,447,0
30.2,79,448,0
30.2,79,449,1
30.2,79,450,0
30.2,78,451,1
30.2,79,452,0
30.2,79,453,1
30.2,78,454,0
30.2,78,455,1
30.2,78,456,0
30.2,78,457,1
30.2,78,458,0
30.2,79,459,0
30.2,78,460,1
30.2,78,461,0
30.2,78,462,1
29.8,80,463,0
29.8,80,464,1
29.8,80,465,0
29.8,80,466,1
29.8,80,467,0
29.8,80,468,1
29.8,80,469,0
29.8,80,470,0
29.8,81,471,1
29.8,80,472,0
29.8,80,473,1
29.8,80,474,0
29.8,81,475,1
29.8,81,476,0
29.8,80,477,1
29.8,80,478,0
29.8,80,479,1
29.8,81,480,0
29.8,81,481,0
29.8,80,482,1
29.8,80,483,0
29.8,80,484,1
29.8,80,485,0
29.8,80,486,1
29.8,80,487,0
29.8,80,488,1
29.8,80,489,0
29.8,80,490,1
29.8,80,491,0
29.8,80,492,0
29.8,80,493,1
29.8,80,494,0
29.8,80,495,1
29.8,80,496,0
29.8,80,497,1
29.8,80,498,0
29.8,81,499,1
29.8,81,500,0
29.8,80,501,1
29.8,81,502,0
29.8,81,503,0
29.8,81,504,1
29.8,81,505,0
29.8,81,506,1
29.8,81,507,0
29.8,81,508,1
29.8,81,509,0
29.8,81,510,1
29.8,81,511,0
29.8,82,512,1
29.8,82,513,0
29.8,82,514,0
29.8,82,515,1
29.8,82,516,0
29.8,82,517,1
29.8,81,518,0
29.8,81,519,1
29.8,81,520,0
29.8,81,521,1
29.8,81,522,0
29.8,81,523,1
29.8,81,524,0
29.8,81,525,0
29.8,81,526,1
29.8,81,527,0
29.8,81,528,1
29.8,81,529,0
29.8,81,530,1
29.8,81,531,0
29.8,81,532,1
29.8,81,533,0
29.9,81,534,1
30.2,80,535,0
29.8,81,536,0
29.8,81,537,1
29.8,81,538,0
29.8,81,539,1
30.2,80,540,0
30.2,79,541,1
30.2,79,542,0
30.2,79,543,1
30.2,79,544,0
29.8,81,545,1
29.8,81,546,0
29.8,80,547,0
29.8,80,548,1
29.8,80,549,0
29.8,80,550,1
29.8,80,551,0
29.8,80,552,1
30.2,79,553,0
30.2,79,554,1
30.2,79,555,0
30.2,79,556,1
30.2,79,557,0
30.2,79,558,0
30.2,79,559,1
30.2,79,560,0
30.2,79,561,1
30.2,79,562,0
30.2,78,563,1
30.2,79,564,0
30.2,79,565,1
30.2,79,566,0
30.2,79,567,1
30.2,79,568,0
30.2,79,569,0
30.2,79,570,1
30.2,79,571,0
30.2,79,572,1
30.2,79,573,0
30.2,79,574,1
30.2,80,575,0
30.2,79,576,1
30.2,79,577,0
30.2,79,578,1
30.2,79,579,0
30.2,79,580,0
30.2,79,581,1
30.2,79,582,0
30.2,79,583,1
30.2,79,584,0
30.2,79,585,1
30.2,79,586,0
30.2,79,587,1
30.2,79,588,0
30.2,79,589,1
30.2,80,590,0
30.2,80,591,0
30.2,80,592,1
30.2,79,593,0
30.2,79,594,1
30.2,79,595,0
30.2,79,596,1
30.2,79,597,0
30.2,79,598,1
30.2,79,599,0
30.2,79,600,1
30.2,79,601,0
30.2,79,602,0
30.2,79,603,1
30.2,79,604,0
30.2,79,605,1
30.2,79,606,0
30.2,79,607,1
30.2,79,608,0
30.2,79,609,1
30.2,79,610,0
30.2,79,611,1
30.2,79,612,0
30.2,79,613,0
30.2,79,614,1
30.2,79,615,0
30.2,79,616,1
30.8,78,617,0
30.8,75,618,1
30.8,77,619,0
30.8,75,620,1
30.8,75,621,0
30.8,75,622,1
30.8,78,623,0
30.8,75,624,0
30.8,76,625,1
30.8,75,626,0
30.8,73,627,1
30.8,74,628,0
30.8,75,629,1
30.8,75,630,0
30.8,74,631,1
30.8,73,632,0
30.8,75,633,1
30.8,74,634,0
30.8,77,635,0
31.3,76,636,1
31.3,75,637,0
31.3,77,638,1
31.3,77,639,0
31.3,78,640,1
31.3,78,641,0
31.3,76,642,1
31.3,75,643,0
31.3,76,644,1
31.3,77,645,0
31.3,76,646,0
31.3,76,647,1
31.3,75,648,0
31.3,74,649,1
31.3,74,650,0
30.8,74,651,1
30.8,75,652,0
30.8,75,653,1
30.8,75,654,0
30.8,75,655,1
30.8,75,656,0
30.8,75,657,0
30.8,75,658,1
30.8,75,659,0
30.8,75,660,1
30.8,75,661,0
30.8,76,662,1
30.8,77,663,0
30.8,75,664,1
30.8,75,665,0
30.8,75,666,1
30.8,76,667,0
30.8,76,668,0
31.3,76,669,1
31.3,76,670,0
31.3,75,671,1
31.3,76,672,0
31.3,76,673,1
31.3,75,674,0
31.3,75,675,1
30.8,75,676,0
30.8,75,677,1
30.8,75,678,0
30.8,75,679,0
30.8,75,680,1
30.8,74,681,0
30.8,74,682,1
30.8,72,683,0
30.8,72,684,1
30.8,73,685,0
31.8,74,686,1
32.8,75,687,0
29.3,71,688,1
28.9,71,715,0
28.9,71,708,0
28.9,71,753,1
28.9,71,758,0
28.9,72,747,1
28.9,72,754,0
28.9,72,750,1
28.9,72,692,0
28.9,73,763,1
29.9,74,702,0
30.9,75,691,1
31.9,76,705,0
32.9,77,696,0
33.9,78,721,1
34.9,79,720,0
35.9,80,729,1
14.9,81,750,0
15.9,82,700,1
16.9,83,732,0
17.9,84,765,1
18.9,85,709,0
19.9,86,752,1
20.9,68,760,0
21.9,69,770,0
22.9,70,718,1
23.9,71,721,0
24.9,72,726,1
25.9,73,739,0
26.9,74,718,1
27.9,75,728,0
28.9,76,759,1
28.9,74,766,0
28.9,72,764,1
28.9,72,775,0
28.9,73,782,0
28.9,73,709,1
28.9,72,769,0
28.9,72,768,1
28.9,72,766,0
28.9,72,728,1
28.9,72,776,0
28.9,72,742,1
29.3,72,688,0
29.3,72,717,1
28.9,72,714,0
28.9,72,760,0
28.9,72,741,1
28.9,72,698,0
28.9,72,751,1
29.9,73,1024,0
30.9,74,1024,1
31.9,75,1024,0
32.9,76,1024,1
