pressure,altitude,dhthum,LDR value,rainValue,dhtTemp
1008.62531,28.16959,79,687,999,30.2
1008.61737,28.23564,77,688,404,29.8
1008.62201,28.19682,78,715,506,29.9
1008.61108,28.28807,80,708,585,30.8
1008.59741,28.40253,81,753,584,31.3
1008.58484,28.5074,82,758,566,32.3
1008.59003,28.46404,75,747,562,29.3
1008.58875,28.47513,76,754,564,28.9
1008.57733,28.57043,73,750,568,25.3
1008.57971,28.55026,74,692,578,22.9
1008.56232,28.69597,72,763,586,23
1008.5639,28.68287,71,702,595,23.4
1008.54663,28.82707,70,691,427,60.1
1008.52075,29.04338,69,705,510,23.8
1008.53204,28.94909,83,696,534,24.1
1008.52344,29.02069,84,721,590,24.5
1008.51331,29.1054,66,720,632,24.8
1008.48407,29.34996,11,729,615,24.2
1008.4422,29.69991,98,700,665,22.6
1008.43628,29.74933,68,732,702,23.7
1008.40369,30.02214,67,765,750,23.5
1008.39502,30.09425,65,709,785,21
1008.367,30.32874,64,752,801,21.4
1008.34564,30.50726,63,760,813,20.6
1008.34924,30.477,59,770,833,20.2
1008.34985,30.47196,58,718,852,18.2
1008.32843,30.65099,86,726,868,18.6
1008.26202,31.20624,87,739,871,19.4
1008.27045,31.13614,88,728,453,19.8
1008.23248,31.45337,85,759,694,20.3
1008.23279,31.45085,89,766,756,18.3
1008.22162,31.54415,38,764,830,21.8
1008.21075,31.63494,37,775,856,22.2
1008.18701,31.83365,45,782,874,22.7
1008.16656,32.00463,53,769,880,26.2
1008.14709,32.16755,62,768,895,22.3
1008.12872,32.32088,60,776,898,21.1
1008.11938,32.39906,57,742,885,21.9
1008.10596,32.51154,56,717,907,22.8
1008.06525,32.85151,93,714,924,24.6
1008.04498,33.021,91,741,932,25.8
1008.02704,33.17131,52,698,945,23.3
1008.0094,33.31861,46,751,952,24
1007.96381,33.69997,41,1024,960,19
1007.93976,33.90125,51,0,473,18.8
1007.90393,34.2009,49,5,476,33.8
1007.8764,34.43095,48,4,597,33.2
1007.86133,34.55707,50,10,773,28.5
1007.84265,34.71347,47,6,740,19.5
1007.82935,34.82446,61,45,832,27.6
1007.80951,34.99044,54,748,882,28
1007.76477,35.3648,55,793,896,27.1
1007.74341,35.54341,73.7,738,913,26.7
1007.70685,35.84917,67.61,745,914,28.4
1007.6864,36.02021,68.08,792,921,29.4
1007.6933,35.96269,67.17,735,926,29.6
1007.65845,36.25383,62.98,798,940,26.4
1007.64081,36.40167,62.64,794,951,27.7
1007.59717,36.76649,59.2,762,963,33.3
1007.56409,37.04353,60.31,797,805,32.8
1007.54749,37.1823,68.99,799,948,31.8
1007.52576,37.36396,65.34,725,968,31.9
1007.53674,37.27212,61.83,757,975,34.2
1007.52075,37.40585,65.74,756,987,33.9
1007.4986,37.59155,61.97,796,997,35.2
1007.47931,37.75253,59.85,761,1004,35.6
1007.46173,37.89989,65.81,788,1013,34.7
1007.42578,38.20068,69.58,801,1022,38.5
1007.39526,38.45604,75.61,780,1024,38.6
1007.39642,38.44595,75.79,774,682,39
1007.37622,38.61502,73.93,841,867,39.2
1007.35864,38.76239,74.3,835,879,39.5
1007.31189,39.15354,57.27,837,897,28.7
1007.26593,39.53814,46.36,842,942,35.5
1007.23273,39.81575,48.12,840,451,35.4
1007.22015,39.92125,47.86,860,941,34
1007.19843,40.10296,54.38,869,262,32.6
1007.18237,40.23723,51.18,831,807,31.4
1007.1358,40.62692,56.29,826,825,30.1
1007.12061,40.75413,62.94,847,843,29.7
1007.11725,40.78239,51.84,737,949,30.3
1007.07928,41.09992,69.23,787,956,30.6
1007.05725,41.28418,73.69,838,972,32.7
1007.01111,41.67037,60.43,836,988,31.07
1007.01208,41.66229,56.58,866,1003,31.04
1006.96295,42.07375,83.72,833,1009,31.01
